Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms)),TTC Lidar(s)),TTC Camera(s))
FAST,BRIEF,7,1829,0,1.32850000,7.10910000,1242,9.60980000,13.73143194,10.97363108
FAST,BRIEF,8,1843,0,1.25860000,11.50140000,1237,7.99250000,13.79012564,12.36426143
FAST,BRIEF,9,1818,0,1.53000000,6.98240000,1277,9.23740000,12.05899411,12.49719031
FAST,BRIEF,10,1879,0,1.45190000,9.54400000,1237,13.12680000,11.86418535,12.51684618
FAST,BRIEF,11,1849,0,1.22880000,7.20410000,1252,9.54060000,11.96819706,13.50114504
FAST,BRIEF,12,1826,0,1.35850000,7.34070000,1275,13.24590000,9.88711316,12.17035184
FAST,BRIEF,13,1842,0,1.18060000,7.82480000,1246,7.85260000,9.42503692,13.02729801
FAST,BRIEF,14,1833,0,1.29820000,8.30750000,1265,10.36690000,9.30214768,11.48800555
FAST,BRIEF,15,1921,0,1.30770000,8.39530000,1238,8.99150000,8.32120023,12.20844585
FAST,BRIEF,16,1934,0,1.24510000,10.21290000,1297,10.98290000,8.89867334,11.52555495
FAST,BRIEF,17,1946,0,1.45870000,9.36800000,1348,9.74680000,11.03011361,10.43168239

FAST,ORB,0,1864,0,1.34230000,5.31750000,0,0.00000000,0.00000000,0.00000000
FAST,ORB,1,1898,0,1.40680000,5.61360000,1220,10.60550000,12.28909987,11.28756751
FAST,ORB,2,1865,0,1.39250000,5.87880000,1234,11.38170000,13.35472472,12.67905261
FAST,ORB,3,1840,0,1.31230000,6.68190000,1238,11.21180000,16.38445235,13.09912198
FAST,ORB,4,1867,0,1.31620000,6.08360000,1188,8.44460000,14.07644542,12.63213219
FAST,ORB,5,1876,0,1.63750000,5.19710000,1232,9.89640000,12.72994538,13.06336298
FAST,ORB,6,1843,0,1.29420000,4.82530000,1193,10.11270000,13.75107388,12.59641586
FAST,ORB,7,1829,0,1.59910000,5.00510000,1141,9.83120000,13.73143194,11.30274783
FAST,ORB,8,1843,0,1.32570000,5.51570000,1167,10.70530000,13.79012564,11.34317264
FAST,ORB,9,1818,0,1.26680000,6.14180000,1171,9.27930000,12.05899411,11.96365733
FAST,ORB,10,1879,0,1.54550000,5.48830000,1142,9.22690000,11.86418535,12.56944468
FAST,ORB,11,1849,0,1.29190000,5.46310000,1160,9.46870000,11.96819706,13.10000000
FAST,ORB,12,1826,0,1.79990000,5.49530000,1188,8.18770000,9.88711316,13.25797541
FAST,ORB,13,1842,0,1.30700000,5.51160000,1157,10.64860000,9.42503692,13.10304187
FAST,ORB,14,1833,0,1.29840000,5.29810000,1162,9.22950000,9.30214768,12.67021163
FAST,ORB,15,1921,0,1.35250000,5.10440000,1172,8.98120000,8.32120023,12.40080323
FAST,ORB,16,1934,0,1.36590000,5.62510000,1244,9.65340000,8.89867334,12.75494310
